Sygnatura czasowa,"Identyfikator w badaniu (taki sam, jak w systemie Argilla)",MD,PD,TD,P,E,F
2025-12-18 15:45:00,annotator_II_faza_10,11,12,14,16,13,8
2025-12-18 15:48:32,annotator_II_faza_23,6,5,7,3,8,7
2025-12-18 16:47:15,annotator_II_faza_11,15,5,1,1,10,7
2025-12-18 17:37:24,annotator_II_faza_13,8,4,5,2,6,17
2025-12-18 18:02:08,annotator_II_faza_21,15,2,12,5,5,6
2025-12-18 19:47:50,annotator_II_faza_15,10,16,15,18,18,7
2025-12-18 20:52:50,annotator_II_faza_1,12,1,6,5,10,3
2025-12-18 21:09:39,annotator_II_faza_18,15,5,10,17,12,1
2025-12-18 23:12:46,annotator_II_faza_8,15,7,10,5,17,4
2025-12-19 07:57:19,annotator_II_faza_19,10,2,15,15,17,15
2025-12-19 08:33:03,annotator_II_faza_17,18,18,15,10,15,12
2025-12-19 10:59:08,annotator_II_faza_6,20,15,15,5,15,13
2025-12-19 11:16:03,annotator_II_faza_14,8,7,12,18,12,7
2025-12-19 11:51:16,annotator_II_faza_9,16,12,13,17,17,5
2025-12-19 11:57:06,annotator_II_faza_2,15,5,10,3,14,13
2025-12-19 14:03:53,annotator_II_faza_4,18,2,10,5,15,18
2025-12-19 16:16:14, annotator_II_faza_7,10,15,5,1,10,3
2025-12-19 19:06:27,anotator_II,18,12,12,3,19,17
2025-12-19 20:51:59,annotator_II_faza_24,12,5,5,3,10,5
2025-12-19 20:53:18,annotator_II_faza_24,15,5,5,3,10,5
2025-12-19 22:59:49,annotator_II_faza_3,17,13,6,5,15,11
2025-12-20 17:54:18,annotator_II_faza_22,18,2,12,2,10,3
2025-12-20 21:32:25,annotator_II_faza_20,12,2,4,4,6,7
2025-12-21 13:22:49,0,12,1,14,9,13,14
2025-12-30 23:06:18,Teksty_mlodziezowe_annotator_I_faza_2,15,5,15,5,10,5
